name	read1	read2
2	Secuencias-Cerezos-Agromillora-Bacterias/2_27F.ab1	Secuencias-Cerezos-Agromillora-Bacterias/2_1492R.ab1
3	Secuencias-Cerezos-Agromillora-Bacterias/3_27F.ab1	Secuencias-Cerezos-Agromillora-Bacterias/3_1492R.ab1
